Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
5	2	4404	1	6	4019	5	5	2968	5	3	2950	5	4	2648	5	1	5635	US	5	23	275	5	6	6	5	7	3	5	3	3	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	2	1	33	375	667	1	1	2	16	2	2	2	
5	2	9284	3	6	6270	5	4	4276	5	3	2413	5	1	5880	5	5	2922	US	3	31	202	6	3	6	3	7	4	5	4	5	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	3	3	2	1	28	414	736	1	1	2	16	1	1	3	Fine art
4	1	15199	4	5	8577	5	2	7797	5	4	2988	5	3	3588	5	6	4148	RO	25	54	648	2	6	7	5	7	2	5	1	5	2	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	3	2	2	39	414	803	2	12	1	16	2	2	4	economics, law
2	1	6895	2	6	3825	5	5	4488	3	4	2939	4	2	6159	5	3	2237	US	2	25	160	1	5	6	7	1	7	5	5	2	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	2	1	3	1	17	1280	1024	2	2	2	17	2	1	11	NA
2	1	11741	4	2	4340	3	4	9536	5	5	3219	2	3	6543	2	6	3467	CA	2	40	120	2	2	6	5	6	7	6	2	5	3	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	2	2	2	2	16	768	1024	2	2	3	16	2	1	2	None
5	4	2616	5	1	7298	5	2	10277	5	3	3106	5	5	2263	5	6	2202	US	2	29	192	7	1	1	1	7	1	6	6	4	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	1	2	1	32	800	1280	1	7	2	16	2	3	5	
5	6	5828	5	4	5929	3	1	1005	4	3	5900	4	2	13093	4	5	9362	CA	73	59	182	6	5	5	7	7	7	6	6	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	3	2	1	17	320	568	1	7	1	17	2	1	4	
4	1	6603	3	5	2360	1	2	5204	3	6	2386	4	3	3994	3	4	3142	AU	4	25	67	5	2	2	6	6	5	6	7	2	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	2	2	1	1	18	1280	720	1	2	1	16	2	1	2	
5	6	2833	5	5	4700	5	4	4283	5	1	4635	4	2	6441	4	3	3625	US	1	27	167	6	6	2	6	7	3	6	5	3	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	3	2	1	16	1680	1050	2	1	2	16	2	1	3	
4	3	3515	4	1	6264	3	2	4284	2	5	3086	3	6	3170	2	4	2156	NONE	14	23	114	5	3	6	3	6	3	6	4	5	3	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	1	27	375	667	1	7	1	16	2	1	2	
